state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
1,1,Tupelo High School,7A,1-0,86.4,,,,67.0,38.0,14.0,1,88.43,39.3,Mostly same class,0.0,0,1,0
2,2,Meridian High School,7A,1-0,85.1,,,,51.4,47.0,9.0,18,72.38,35.1,Mostly same class,0.0,0,1,0
3,3,Germantown High School,7A,1-0,83.8,,,,59.6,60.0,27.0,5,78.73,33.4,Mostly same class,0.0,0,1,0
4,4,Madison Central High School,7A,1-0,83.5,,,,75.2,17.0,7.0,11,76.2,33.4,Mostly same class,0.0,0,1,0
5,5,Gulfport High School,7A,1-0,83.4,,,,45.0,35.0,0.0,2,80.74,31.9,Playing down,-1.0,0,0,1
6,6,Starkville High School,7A,1-0,83.2,,,,84.4,17.0,15.0,3,79.68,42.7,Mostly same class,0.0,0,1,0
7,1,Warren Central High School,6A,1-0,81.9,,,,75.7,35.0,24.0,8,77.65,34.8,Playing up,1.0,1,0,0
8,7,Petal High School,7A,1-0,79.2,,,,77.1,35.0,34.0,20,71.96,34.8,Playing down,-1.0,0,0,1
9,2,Center Hill High School,6A,1-0,78.6,,,,80.7,23.0,16.0,34,60.87,28.6,Playing up,1.0,1,0,0
10,8,Oak Grove High School,7A,0-1,78.6,,,,91.3,15.0,17.0,4,79.0,43.4,Mostly same class,0.0,0,1,0
11,1,Poplarville Jr Sr High School,4A,1-0,78.5,,,,46.3,40.0,7.0,33,61.43,26.1,Playing up,3.0,1,0,0
12,9,Biloxi High School,7A,1-0,78.5,,,,56.4,35.0,19.0,27,64.84,27.5,Playing down,-2.0,0,0,1
13,10,Desoto Central High School,7A,1-0,78.4,,,,81.7,26.0,25.0,23,68.86,35.0,Playing down,-1.0,0,0,1
14,3,South Panola High School,6A,0-1,75.4,,,,84.9,25.0,26.0,24,68.81,34.3,Playing up,1.0,1,0,0
15,11,Oxford High School,7A,1-0,75.2,,,,54.6,34.0,24.0,7,77.92,28.9,No class data,0.0,0,0,0
16,4,Terry High School,6A,1-0,74.5,,,,42.7,55.0,6.0,73,50.3,12.3,Playing up,1.0,1,0,0
17,5,Hattiesburg High School,6A,0-1,74.1,,,,86.7,34.0,35.0,28,62.66,37.5,Playing up,1.0,1,0,0
18,12,Diberville Senior High Sch,7A,1-0,74.0,,,,32.6,21.0,6.0,16,73.79,31.2,Playing down,-4.0,0,0,1
19,13,Pearl High School,7A,0-1,73.9,,,,95.9,7.0,17.0,26,66.14,42.9,Mostly same class,0.0,0,1,0
20,14,St. Martin High School,7A,1-0,73.0,,,,33.9,56.0,14.0,47,55.62,14.3,Playing down,-2.0,0,0,1
21,15,Clinton High School,7A,0-1,72.6,,,,89.0,24.0,35.0,22,69.63,43.5,Playing down,-1.0,0,0,1
22,16,Horn Lake High,7A,0-1,72.4,,,,85.8,16.0,23.0,35,60.86,28.5,Playing down,-1.0,0,0,1
23,2,Mendenhall High School,4A,1-0,72.2,,,,48.6,46.0,27.0,49,55.21,26.1,Playing up,2.0,1,0,0
24,3,Louisville High School,4A,1-0,71.9,,,,43.6,21.0,6.0,9,77.41,38.4,Playing up,1.0,1,0,0
25,6,Callaway High School,6A,1-0,71.1,,,,64.7,14.0,0.0,71,50.62,14.0,Mostly same class,0.0,0,1,0
26,7,Gautier High School,6A,1-0,71.0,,,,50.5,63.0,35.0,76,49.61,14.6,Mostly same class,0.0,0,1,0
27,4,Kosciusko Senior High School,4A,1-0,70.4,,,,52.3,55.0,35.0,29,62.29,22.8,Playing up,2.0,1,0,0
28,8,Pascagoula High School,6A,1-0,70.3,,,,21.1,44.0,0.0,45,56.73,12.6,Playing down,-2.0,0,0,1
29,5,New Albany High School,4A,1-0,69.8,,,,37.6,34.0,7.0,55,52.71,16.6,Playing up,2.0,1,0,0
30,1,Laurel High School,5A,1-0,69.5,,,,61.5,56.0,42.0,44,56.99,18.1,Playing up,1.0,1,0,0
31,6,Pass Christian High School,4A,1-0,69.5,,,,29.4,48.0,3.0,74,50.13,11.6,Playing up,2.0,1,0,0
32,2,Lanier High School,5A,1-0,69.4,,,,76.6,24.0,20.0,104,46.62,20.0,Playing up,2.0,1,0,0
33,17,Hernando High School,7A,1-0,69.4,,,,9.2,55.0,0.0,56,52.65,13.9,No class data,0.0,0,0,0
34,18,Brandon High School,7A,0-1,69.3,,,,97.7,14.0,38.0,14,75.46,52.1,Mostly same class,0.0,0,1,0
35,1,Winona Secondary School,3A,1-0,68.6,,,,60.1,21.0,7.0,51,55.02,21.9,Playing up,4.0,1,0,0
36,19,Lewisburg High School,7A,1-0,68.5,,,,50.0,26.0,14.0,95,47.83,17.9,No class data,0.0,0,0,0
37,3,Leake Central High School,5A,1-0,68.1,,,,27.1,35.0,0.0,79,49.33,11.8,Mostly same class,0.0,0,1,0
38,7,Shannon High School,4A,1-0,67.6,,,,54.1,31.0,13.0,60,52.08,16.0,Playing up,2.0,1,0,0
39,4,Pontotoc High School,5A,1-0,67.6,,,,19.7,48.0,14.0,57,52.42,13.9,Playing down,-1.0,0,0,1
40,20,Northwest Rankin High School,7A,0-1,67.1,,,,98.6,27.0,60.0,21,70.51,46.0,Mostly same class,0.0,0,1,0
41,8,Corinth High School,4A,1-0,67.1,,,,52.8,28.0,21.0,40,58.7,28.5,Playing up,1.0,1,0,0
42,5,Lafayette High School,5A,1-0,66.8,,,,5.0,58.0,0.0,61,51.86,15.1,No class data,0.0,0,0,0
43,6,Brookhaven High School,5A,1-0,66.7,,,,24.3,35.0,8.0,53,54.68,13.7,Playing down,-1.0,0,0,1
44,9,Lake Cormorant High,6A,1-0,66.5,,,,32.1,27.0,8.0,39,58.95,16.5,No class data,0.0,0,0,0
45,9,Itawamba Agricultural High School,4A,1-0,66.4,,,,31.7,42.0,10.0,72,50.41,13.6,Playing up,1.0,1,0,0
46,7,Stone High School,5A,1-0,66.2,,,,71.6,50.0,44.0,94,47.94,19.5,Playing up,1.0,1,0,0
47,10,Houston High School,4A,1-0,65.9,,,,25.2,46.0,12.0,89,48.16,12.5,Playing up,1.0,1,0,0
48,10,Pearl River Central High School,6A,1-0,65.8,,,,66.1,28.0,27.0,117,45.08,20.9,Playing down,-1.0,0,0,1
49,11,McComb High School,4A,1-0,65.4,,,,11.0,41.0,0.0,67,51.67,14.8,Playing down,-1.0,0,0,1
50,12,Morton High School,4A,1-0,65.0,,,,24.8,42.0,13.0,68,51.48,17.9,Mostly same class,0.0,0,1,0
51,8,South Jones High School,5A,1-0,64.9,,,,53.2,36.0,23.0,99,47.48,16.4,Mostly same class,0.0,0,1,0
