state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
1,1,Tupelo High School,7A,3-0,93.1,0,0,0.9,76.1,43.0,11.3,1,89.98,37.4,Playing down,-1.5,0,1,1
2,2,Diberville Senior High Sch,7A,3-0,92.6,2,1,4.9,85.1,36.0,11.0,7,76.51,31.1,Playing down,-3.0,0,0,3
3,3,Starkville High School,7A,3-0,92.3,0,-1,4.2,86.0,35.0,15.7,3,81.22,39.6,Playing down,-0.667,0,2,1
4,1,Warren Central High School,6A,3-0,89.3,5,2,5.1,87.8,39.0,24.3,6,78.5,36.5,Playing up,1.0,3,0,0
5,4,Oak Grove High School,7A,2-1,87.7,5,2,3.6,98.2,26.3,20.7,5,80.48,43.2,Playing down,-0.333,0,2,1
6,5,Gulfport High School,7A,2-0,87.6,6,2,4.6,52.3,43.0,0.0,2,83.2,31.2,Playing down,-1.5,0,0,2
7,6,Oxford High School,7A,3-0,87.3,-1,-1,1.1,80.6,29.7,16.3,9,75.99,33.9,Playing down,-1.5,0,0,2
8,1,Poplarville Jr Sr High School,4A,3-0,86.5,-6,0,-3.0,67.6,43.7,13.0,27,58.36,23.4,Playing up,2.0,3,0,0
9,7,Germantown High School,7A,1-2,85.9,-4,-3,-0.7,99.5,40.0,32.3,8,76.48,43.7,Playing down,-0.333,0,2,1
10,2,Senatobia High School,4A,3-0,85.4,28,6,14.8,73.0,34.7,11.7,48,53.62,26.1,Playing down,-0.5,0,1,1
11,2,Canton Public High School,6A,3-0,85.2,-3,0,-0.1,83.8,41.3,22.0,57,49.87,23.9,Playing down,-1.0,1,1,1
12,8,St. Martin High School,7A,3-0,84.2,9,3,5.1,61.7,45.0,9.3,35,56.38,20.4,Playing down,-2.0,0,0,3
13,9,Brandon High School,7A,2-1,83.8,6,1,4.5,97.7,25.7,26.3,11,75.44,42.2,Mostly same class,0.0,0,3,0
14,3,Mendenhall High School,4A,3-0,83.8,-1,0,1.7,74.8,42.3,24.0,40,54.73,25.5,Playing up,0.333,1,1,1
15,3,Terry High School,6A,2-1,83.6,-8,-2,-2.3,81.5,46.3,22.3,70,48.22,23.6,Mostly same class,0.0,1,1,1
16,4,Pass Christian High School,4A,3-0,83.3,-5,-2,0.3,68.0,47.7,20.0,54,51.43,24.8,Playing up,0.667,2,0,1
17,5,Kosciusko Senior High School,4A,3-0,82.6,1,-1,3.2,79.3,53.7,36.3,28,58.36,28.1,Playing up,2.0,3,0,0
18,4,Gautier High School,6A,2-1,81.9,7,3,4.3,93.2,36.7,29.7,42,54.54,32.4,Playing up,0.667,2,1,0
19,6,Louisville High School,4A,2-1,81.7,5,0,3.8,73.9,23.7,11.7,12,70.62,38.3,Playing up,0.5,1,1,0
20,7,Itawamba Agricultural High School,4A,2-1,81.5,2,-2,2.6,78.8,21.0,8.7,38,54.82,30.1,Playing up,0.333,1,2,0
21,10,Meridian High School,7A,1-2,80.5,2,2,1.7,90.5,33.0,29.0,26,59.31,38.7,Playing down,-0.333,0,2,1
22,11,Madison Central High School,7A,1-2,79.4,8,3,4.6,94.1,28.0,28.3,17,69.1,37.3,Playing down,-0.667,0,2,1
23,12,Petal High School,7A,3-0,79.3,-8,-4,-1.5,65.3,37.3,26.7,14,69.21,33.8,Playing down,-1.333,0,1,2
24,13,Northwest Rankin High School,7A,2-1,78.8,9,2,5.6,87.4,34.0,33.3,20,64.16,33.5,Playing down,-0.667,0,2,1
