team_id,name,class,region,reference_class,reference_region,state_rank,prior_record,snapshot_record,games_counted,cutoff,ledger_status,internal_consistency,external_verification,source_links,correction_made,unresolved_issue
tupelo,Tupelo High School,7A,1,7A,1,1,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,Intro now states rank (unchanged) and rating (+3.1) separately; Sep 11 game marked under review pending the Houston listing check.,
meridian,Meridian High School,7A,3,7A,3,2,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
germantown,Germantown High School,7A,2,7A,2,3,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
madison-central,Madison Central High School,7A,2,7A,2,4,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
gulfport,Gulfport High School,7A,4,7A,4,5,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
starkville,Starkville High School,7A,2,7A,2,6,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
warren-central,Warren Central High School,6A,2,6A,2,7,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
petal,Petal High School,7A,3,7A,3,8,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
center-hill,Center Hill High School,6A,1,6A,1,9,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
oak-grove,Oak Grove High School,7A,3,7A,3,10,,0-1,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
poplarville,Poplarville Jr Sr High School,4A,7,4A,7,11,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
biloxi,Biloxi High School,7A,4,7A,4,12,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
desoto-central,Desoto Central High School,7A,1,7A,1,13,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
south-panola,South Panola High School,6A,1,6A,1,14,,0-1,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
oxford,Oxford High School,7A,2,7A,2,15,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
terry,Terry High School,6A,3,6A,3,16,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
hattiesburg,Hattiesburg High School,6A,3,6A,3,17,,0-1,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
diberville,Diberville Senior High Sch,7A,4,7A,4,18,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,Display name shown as D'Iberville High School (source list abbreviation 'Diberville Senior High Sch').,
pearl,Pearl High School,7A,3,7A,3,19,,0-1,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
st-martin,St. Martin High School,7A,4,7A,4,20,,1-0,1,2026-09-02T20:30:00-05:00,counted games consistent; unresolved listings not recorded in this legacy snapshot,PASS,"NOT_PERFORMED: MHSAA, MaxPreps and AHSFHS were unreachable from the build environment",https://scores.misshsaa.com/ https://www.misshsaa.com/2024/11/19/2025-27-football-regions/ https://www.maxpreps.com/ms/football/rankings/1/,,
